DANH SÁCH TRẠM QUAN TRẮC THEO TỈNH THÀNH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
3.0,Hòa Bình,-149,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tỉnh/TP,Tên Trạm,Huyện/Quận,15.81295,106.3308,258.5,Loại trạm,Nguồn dữ liệu
1.0,An Giang,Trạm khí tượng Đông An Giang 2,Thành phố,10.3865,105.4351,192.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,An Giang,Trạm đo Đông An Giang,Quận 2,10.3865,105.4351,240.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,An Giang,Trạm đo Đông An Giang 3,Thành phố,10.3865,105.4351,385.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,An Giang,Đài Nam An Giang 4,Thành phố,10.3865,105.4351,6.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm An Giang:,-1,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bà Rịa - Vũng Tàu,Trạm quan trắc Ngoại thành Bà Rịa - Vũng Tàu,Thành phố,10.346,107.0843,98.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bà Rịa - Vũng Tàu,Trạm quan trắc Ven biển Bà Rịa - Vũng Tàu 3,Thành phố,10.346,107.0843,416.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bà Rịa - Vũng Tàu,Trạm đo Ngoại thành Bà Rịa - Vũng Tàu 2,Thành phố,10.346,107.0843,204.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bà Rịa - Vũng Tàu:,-5,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bình Dương,Trạm Ngoại thành Bình Dương 5,Thành phố,10.9804,106.6519,411.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Dương,Trạm Trung tâm Bình Dương 4,Huyện B,10.9804,106.6519,312.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Dương,Trạm quan trắc Trung tâm TP Bình Dương 2,Huyện A,10.9804,106.6519,132.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bình Dương,Trạm Đông Bình Dương 3,Thị xã,10.9804,106.6519,118.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bình Dương,Trạm đo Tây Bình Dương 6,Thành phố,10.9804,106.6519,460.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bình Dương,Đài Ngoại thành Bình Dương,Thành phố,10.9804,106.6519,443.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Dương:,-5,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bình Phước,Trạm Bắc Bình Phước 6,Quận 3,11.5349,106.8823,255.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Phước,Trạm khí tượng Bắc Bình Phước 5,Thành phố,11.5349,106.8823,149.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Phước,Trạm khí tượng Tây Bình Phước,Huyện B,11.5349,106.8823,163.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bình Phước,Trạm quan trắc Trung tâm Bình Phước 7,Quận 3,11.5349,106.8823,346.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bình Phước,Trạm đo Vùng núi Bình Phước 2,Huyện B,11.5349,106.8823,480.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bình Phước,Trạm đo Vùng núi Bình Phước 3,Thành phố,11.5349,106.8823,133.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Bình Phước,Đài Vùng núi Bình Phước 4,Huyện A,11.5349,106.8823,130.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Phước:,-7,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bình Thuận,Trạm Ngoại thành Bình Thuận 4,Thành phố,10.9333,108.1,222.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Thuận,Trạm khí tượng Trung tâm Bình Thuận 2,Quận 1,10.9333,108.1,18.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Thuận,Trạm khí tượng Vùng núi Bình Thuận 6,Thành phố,10.9333,108.1,29.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bình Thuận,Trạm khí tượng Đông Bình Thuận 3,Thành phố,10.9333,108.1,417.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bình Thuận,Trạm quan trắc Ngoại thành Bình Thuận,Thành phố,10.9333,108.1,123.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bình Thuận,Trạm đo Đông Bình Thuận 5,Huyện A,10.9333,108.1,171.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Thuận:,-11,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bình Định,Trạm Vùng núi Bình Định 3,Thành phố,13.7667,109.2333,314.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Định,Trạm khí tượng Trung tâm Bình Định 5,Quận 3,13.7667,109.2333,112.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Định,Trạm khí tượng Trung tâm Bình Định 6,Thành phố,13.7667,109.2333,29.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bình Định,Trạm Đông Bình Định,Thành phố,13.7667,109.2333,335.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bình Định,Trạm đo Nam Bình Định 2,Thành phố,13.7667,109.2333,268.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bình Định,Trạm đo Trung tâm Bình Định 4,Quận 2,13.7667,109.2333,342.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Định:,-14,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bạc Liêu,Trạm Nam Bạc Liêu 6,Huyện B,9.2833,105.7167,166.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bạc Liêu,Trạm khí tượng Đông Bạc Liêu 5,Quận 1,9.2833,105.7167,359.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bạc Liêu,Trạm quan trắc Bắc Bạc Liêu 3,Thành phố,9.2833,105.7167,366.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bạc Liêu,Trạm đo Trung tâm TP Bạc Liêu 2,Quận 2,9.2833,105.7167,480.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bạc Liêu,Trạm đo Vùng núi Bạc Liêu,Quận 3,9.2833,105.7167,5.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bạc Liêu,Đài Trung tâm Bạc Liêu 4,Quận 1,9.2833,105.7167,362.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bạc Liêu:,-17,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bắc Giang,Trạm Nam Bắc Giang,Thành phố,21.2814,106.1975,244.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bắc Giang,Trạm quan trắc Bắc Bắc Giang 2,Thị xã,21.2814,106.1975,255.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bắc Giang,Trạm quan trắc Đông Bắc Giang 3,Quận 3,21.2814,106.1975,431.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bắc Giang:,-23,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bắc Kạn,Trạm Bắc Bắc Kạn 4,Thị xã,22.15,105.8333,219.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bắc Kạn,Trạm quan trắc Trung tâm Bắc Kạn 5,Quận 1,22.15,105.8333,85.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bắc Kạn,Trạm quan trắc Đông Bắc Kạn 3,Thành phố,22.15,105.8333,411.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bắc Kạn,Trạm đo Nam Bắc Kạn,Huyện A,22.15,105.8333,387.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bắc Kạn,Trạm đo Trung tâm Bắc Kạn 6,Huyện A,22.15,105.8333,448.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bắc Kạn,Đài Trung tâm Bắc Kạn 2,Huyện A,22.15,105.8333,181.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bắc Kạn:,-23,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bắc Ninh,Trạm Tây Bắc Ninh,Thành phố,21.1214,106.1111,69.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bắc Ninh,Trạm Tây Bắc Ninh 2,Thành phố,21.1214,106.1111,391.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bắc Ninh,Đài Nam Bắc Ninh 3,Thành phố,21.1214,106.1111,49.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bắc Ninh:,-29,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bến Tre,Trạm khí tượng Bắc Bến Tre 2,Thành phố,10.2333,106.3833,413.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bến Tre,Trạm khí tượng Trung tâm TP Bến Tre,Thành phố,10.2333,106.3833,206.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bến Tre,Đài Nam Bến Tre 3,Huyện B,10.2333,106.3833,496.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bến Tre:,-32,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Cao Bằng,Trạm Ngoại thành Cao Bằng,Quận 1,22.6667,106.25,383.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Cao Bằng,Trạm đo Nam Cao Bằng 3,Quận 3,22.6667,106.25,409.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Cao Bằng,Trạm đo Ven biển Cao Bằng 4,Thành phố,22.6667,106.25,39.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Cao Bằng,Đài Vùng núi Cao Bằng 2,Huyện A,22.6667,106.25,50.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Cao Bằng:,-34,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Cà Mau,Trạm Tây Cà Mau 5,Quận 3,9.1769,105.1521,452.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Cà Mau,Trạm Ven biển Cà Mau 3,Quận 3,9.1769,105.1521,188.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Cà Mau,Trạm khí tượng Bắc Cà Mau 2,Thị xã,9.1769,105.1521,69.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Cà Mau,Trạm khí tượng Nam Cà Mau 6,Thành phố,9.1769,105.1521,13.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Cà Mau,Trạm đo Nam Cà Mau,Quận 2,9.1769,105.1521,320.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Cà Mau,Trạm đo Tây Cà Mau 4,Thành phố,9.1769,105.1521,354.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Cà Mau,Trạm đo Ven biển Cà Mau 7,Quận 3,9.1769,105.1521,227.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Cà Mau:,-34,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Cần Thơ,Trạm khí tượng Đông Cần Thơ 3,Quận 1,10.0452,105.7469,351.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Cần Thơ,Trạm đo Ngoại thành Cần Thơ,Thành phố,10.0452,105.7469,48.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Cần Thơ,Trạm đo Tây Cần Thơ 2,Thành phố,10.0452,105.7469,95.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Cần Thơ:,-41,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Gia Lai,Trạm Vùng núi Gia Lai 6,Thành phố,13.9833,108.0,384.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Gia Lai,Trạm khí tượng Bắc Gia Lai 2,Quận 3,13.9833,108.0,333.0,Khí tượng thủy văn,vrain.vn (thu thập)
3.0,Gia Lai,Trạm khí tượng Tây Gia Lai 7,Thành phố,13.9833,108.0,248.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Gia Lai,Trạm khí tượng Vùng núi Gia Lai 5,Thành phố,13.9833,108.0,197.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Gia Lai,Trạm đo Nam Gia Lai 4,Thành phố,13.9833,108.0,331.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Gia Lai,Đài Tây Gia Lai 3,Thị xã,13.9833,108.0,178.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Gia Lai,Đài Đông Gia Lai,Huyện B,13.9833,108.0,445.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Gia Lai:,-40,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Giang,Trạm Tây Hà Giang 2,Quận 3,22.8233,104.9836,122.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Giang,Trạm khí tượng Nam Hà Giang 5,Huyện B,22.8233,104.9836,27.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hà Giang,Trạm quan trắc Ngoại thành Hà Giang,Thành phố,22.8233,104.9836,194.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hà Giang,Trạm đo Trung tâm TP Hà Giang 3,Thành phố,22.8233,104.9836,113.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hà Giang,Trạm đo Vùng núi Hà Giang 6,Quận 3,22.8233,104.9836,293.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hà Giang,Đài Bắc Hà Giang 7,Thành phố,22.8233,104.9836,163.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hà Giang,Đài Nam Hà Giang 4,Huyện A,22.8233,104.9836,326.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Giang:,-43,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Nam,Trạm khí tượng Ngoại thành Hà Nam 3,Thành phố,20.5411,105.9139,278.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Nam,Trạm quan trắc Tây Hà Nam 2,Thành phố,20.5411,105.9139,164.0,Khí tượng thủy văn,vrain.vn (thu thập)
3.0,Hà Nam,Trạm quan trắc Ven biển Hà Nam,Quận 2,20.5411,105.9139,43.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Nam:,-50,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Nội,Trạm Trung tâm TP Hà Nội 2,Thành phố,21.0285,105.8542,155.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Nội,Trạm khí tượng Trung tâm TP Hà Nội 6,Thành phố,21.0285,105.8542,342.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hà Nội,Trạm khí tượng Tây Hà Nội,Quận 3,21.0285,105.8542,335.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hà Nội,Trạm quan trắc Ven biển Hà Nội 5,Thị xã,21.0285,105.8542,395.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hà Nội,Trạm đo Ngoại thành Hà Nội 3,Quận 1,21.0285,105.8542,36.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hà Nội,Trạm đo Trung tâm Hà Nội 4,Huyện A,21.0285,105.8542,124.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Nội:,-50,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Tĩnh,Trạm Bắc Hà Tĩnh 4,Thành phố,18.3333,105.9,210.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Tĩnh,Trạm Nam Hà Tĩnh 3,Quận 2,18.3333,105.9,237.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hà Tĩnh,Trạm Vùng núi Hà Tĩnh 7,Thị xã,18.3333,105.9,66.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hà Tĩnh,Trạm khí tượng Vùng núi Hà Tĩnh 6,Quận 2,18.3333,105.9,484.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hà Tĩnh,Trạm quan trắc Đông Hà Tĩnh 2,Thành phố,18.3333,105.9,443.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hà Tĩnh,Đài Ngoại thành Hà Tĩnh,Thành phố,18.3333,105.9,404.0,Khí tượng thủy văn,vrain.vn (thu thập)
7.0,Hà Tĩnh,Đài Ngoại thành Hà Tĩnh 5,Thành phố,18.3333,105.9,86.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Tĩnh:,-52,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hòa Bình,Trạm Nam Hòa Bình 4,Thị xã,20.8133,105.3383,335.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hòa Bình,Trạm khí tượng Vùng núi Hòa Bình 2,Quận 1,20.8133,105.3383,459.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hòa Bình,Trạm quan trắc Trung tâm TP Hòa Bình 5,Huyện A,20.8133,105.3383,20.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hòa Bình,Trạm quan trắc Ven biển Hòa Bình,Thành phố,20.8133,105.3383,341.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hòa Bình,Trạm quan trắc Ven biển Hòa Bình 8,Thành phố,20.8133,105.3383,193.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hòa Bình,Trạm quan trắc Đông Hòa Bình 3,Quận 2,20.8133,105.3383,233.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hòa Bình,Trạm đo Trung tâm TP Hòa Bình 6,Quận 2,20.8133,105.3383,413.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Hòa Bình,Đài Ven biển Hòa Bình 7,Thị xã,20.8133,105.3383,109.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hòa Bình:,-54,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hưng Yên,Trạm khí tượng Ven biển Hưng Yên 5,Thị xã,20.6461,106.0511,264.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hưng Yên,Trạm khí tượng Đông Hưng Yên 3,Thành phố,20.6461,106.0511,260.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hưng Yên,Trạm đo Ven biển Hưng Yên 4,Thành phố,20.6461,106.0511,34.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hưng Yên,Trạm đo Đông Hưng Yên 2,Huyện A,20.6461,106.0511,160.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hưng Yên,Đài Trung tâm TP Hưng Yên 6,Thành phố,20.6461,106.0511,363.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hưng Yên,Đài Đông Hưng Yên,Thành phố,20.6461,106.0511,357.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hưng Yên:,-59,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hải Dương,Trạm Bắc Hải Dương,Thành phố,20.9397,106.3308,207.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
